"e1","e2","e3","e4r","e5r","e6r","c1","c2r","c3","c4r","c5r","c6","c7","c8","fb.friends","hrs.sleep"
2,3,2,4,4,4,5,4,4,5,4,5,4,4,NA,3.5
2,4,3,3,3,4,3,4,4,4,1,5,4,5,1800,7.5
3,4,2,4,5,4,4,5,4,3,4,2,4,4,1383,5
2,3,2,3,4,3,3,4,4,2,3,3,3,3,439,8
5,5,5,1,1,1,5,3,5,2,1,4,4,3,764,8
1,3,3,3,4,4,4,2,4,2,4,4,4,2,688,9
3,4,4,2,3,4,4,2,4,1,2,4,5,3,849,7
3,4,3,1,2,3,4,4,5,2,4,5,5,3,NA,7
1,4,3,3,3,3,4,4,4,2,3,4,4,4,207,9
3,3,3,4,4,5,4,1,5,1,2,4,4,2,30,8
1,3,2,4,3,5,3,5,3,4,5,4,1,5,200,6
3,4,4,1,3,4,4,4,4,2,3,3,3,5,500,7
4,4,4,1,2,2,4,4,4,2,2,3,4,3,NA,8
1,3,3,5,4,2,3,5,1,5,5,2,2,5,NA,3
2,5,5,1,1,1,4,3,5,1,4,4,4,2,50,5
2,4,4,3,3,3,4,3,4,3,3,4,4,4,656,7
3,4,5,NA,2,3,5,2,4,1,2,4,4,3,100,7
4,3,4,2,3,2,4,2,4,1,1,3,3,4,715,8
4,4,4,3,4,5,4,4,4,1,1,5,5,2,NA,9
3,3,4,2,2,2,3,4,4,3,5,3,3,4,1010,5
4,3,3,4,NA,4,4,2,5,3,4,5,4,5,NA,7
2,4,4,3,2,2,4,3,5,1,1,4,4,4,2747,8
4,4,4,2,2,4,4,4,4,4,4,3,4,4,110,10
3,5,5,1,2,4,5,4,5,4,2,4,5,5,683,3
2,2,2,4,5,5,4,2,4,1,4,4,4,3,540,7
4,5,5,1,1,1,4,2,5,1,1,4,5,2,998,9
4,4,4,2,3,3,4,3,4,3,3,4,3,4,NA,4
3,3,3,2,1,1,4,3,5,2,5,3,4,2,583,8
2,4,3,3,3,2,5,4,5,1,3,5,5,4,1404,2
5,4,3,4,4,4,2,3,4,3,5,2,4,4,404,7
3,3,3,4,4,4,4,1,5,3,3,4,4,3,NA,7
4,4,3,4,4,4,4,4,4,4,4,3,3,3,747,8
1,1,1,5,5,5,5,2,2,1,5,2,1,4,NA,NA
2,4,4,4,3,4,4,3,4,2,2,4,3,4,NA,7
5,2,3,2,2,4,4,4,5,5,4,2,1,5,NA,5
2,4,3,4,3,2,5,1,5,1,2,5,4,2,1200,8
3,3,3,2,3,3,4,2,5,3,5,4,4,3,NA,6
2,3,1,4,4,3,4,4,5,3,4,4,3,4,NA,5
4,3,2,4,4,5,5,2,5,1,2,5,4,3,538,8
4,3,2,1,3,4,4,2,4,2,3,5,5,2,600,7
1,2,2,4,4,4,4,2,4,1,1,5,5,2,NA,8
2,4,2,3,3,2,3,2,4,1,1,5,4,2,20,8.3
3,4,4,3,3,4,4,2,4,2,3,3,4,3,NA,7
4,4,5,2,1,2,5,4,5,1,2,5,5,2,599,9
4,4,4,2,1,2,3,4,4,4,2,3,3,3,NA,7
3,4,4,2,3,3,5,2,5,1,2,4,4,2,100,7
3,4,4,2,3,3,5,3,5,1,2,5,5,3,400,8
2,4,2,4,4,5,4,4,4,2,4,2,4,4,261,6
5,5,5,1,1,2,4,4,5,4,4,NA,3,5,1328,5.5
1,1,1,1,5,5,5,2,4,2,4,3,4,2,NA,8
